,Participant,Weight,State,Begin,End,Duration,User Agent,psid,pid,psid.1,pid.1,Q1,Q2,Q3,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q6,Q7,Q8,Q9,Q10.1.1,Q10.1.2,Q10.1.3,Q10.1.4,Q10.1.5,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.9,Q11.10,Q11.11,Q11.12,Q11.13,Q12.1,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7,Q12.8,Q12.9,Q12.10,Q12.11,Q12.12,Q12.13,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11,Q13.12,Q14,Q16,Q17,Q18,Q19,Q20,Q21.1.1,Q21.1.2,Q21.1.3,Q21.1.4,Q21.1.5,Q21.1.6,Q21.1.7,Q21.2.1,Q21.2.2,Q21.2.3,Q21.2.4,Q21.2.5,Q21.2.6,Q21.2.7,Q21.3.1,Q21.3.2,Q21.3.3,Q21.3.4,Q21.3.5,Q21.3.6,Q21.3.7,Q21.4.1,Q21.4.2,Q21.4.3,Q21.4.4,Q21.4.5,Q21.4.6,Q21.4.7,Q21.5.1,Q21.5.2,Q21.5.3,Q21.5.4,Q21.5.5,Q21.5.6,Q21.5.7,Q22.1.1,Q22.1.2,Q22.1.3,Q22.1.4,Q22.1.5,Q22.1.6,Q22.1.7,Q22.1.8,Q22.1.9,Q22.1.10,Q22.1.11,Q22.1.12,Q22.1.13,Q22.1.14,Q22.2.1,Q22.2.2,Q22.2.3,Q22.2.4,Q22.2.5,Q22.2.6,Q22.2.7,Q22.2.8,Q22.2.9,Q22.2.10,Q22.2.11,Q22.2.12,Q22.2.13,Q22.2.14,Q22.3.1,Q22.3.2,Q22.3.3,Q22.3.4,Q22.3.5,Q22.3.6,Q22.3.7,Q22.3.8,Q22.3.9,Q22.3.10,Q22.3.11,Q22.3.12,Q22.3.13,Q22.3.14,Q22.4.1,Q22.4.2,Q22.4.3,Q22.4.4,Q22.4.5,Q22.4.6,Q22.4.7,Q22.4.8,Q22.4.9,Q22.4.10,Q22.4.11,Q22.4.12,Q22.4.13,Q22.4.14,Q22.5.1,Q22.5.2,Q22.5.3,Q22.5.4,Q22.5.5,Q22.5.6,Q22.5.7,Q22.5.8,Q22.5.9,Q22.5.10,Q22.5.11,Q22.5.12,Q22.5.13,Q22.5.14,Q23.1,Q23.2,Q23.3,Q23.4,Q23.5,Q23.6,Q23.7,Q23.8,Q24,Q25.1,Q25.2,Q25.3,Q25.4,Q25.5,Q25.6,Q25.7,Q25.8,Q26.1,Q26.2,Q26.3,Q26.4,Q26.5,Q26.6,Q26.7,Q26.8,Q27.1,Q27.2,Q27.3,Q27.4,Q27.5,Q27.6,Q28.1,Q28.2,Q28.3,Q28.4,Q28.5,Q29.1,Q29.2,Q29.3,Q31,Q32,Q33,Q34,CV1.1,CV1.2,CV1.3,CV2.1,CV2.2,CV2.3,CV2.4,CV3.1,CV6.1,CV6.2,M1,M7,M9
389,1844,1,FINISHED,22.08.2022 - 15:18,22.08.2022 - 15:24,372,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AWqzD3DvG1SxA**,249927200.0,,,32,2,11,5,3,4,4,4,3,6,3,3,2,Nike,KSwiss,Fila,Jordan,Sketchers,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,The most athletic shoes.,For the cool kids.,Standard brand people can wear.,They bring out chill vibes.,"They are comfy, cool and great for walking.",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,5,5,1,5,3,5,600.0,,11.0,25.0,16.0,,10.0,0.0,38.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,2,2,6,2,1,0,0,0,0,1,0,,1,1,1.0,2,1
392,1852,1,FINISHED,22.08.2022 - 15:39,22.08.2022 - 15:49,573,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AWBIZj5xIbTCw**,175773582.0,,,35,1,1,5,3,2,4,5,5,5,4,4,2,nike,adidas,kswiss,sketchers,,1,1,1,1,1,1,1,1,0,1,1,1,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,6.0,These are more expensive than they need to be.,These are some comfy shoes,I haven't really had enough of them to describe them well,these are the best i love all the colors I can get.,Reeboks to me aren't really my style of shoe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,5,2,4,400.0,5.0,5.0,45.0,5.0,5.0,30.0,,5.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,20.0,80.0,,,,1.0,1.0,0.0,3,1,2,2,1,0,0,0,0,1,0,,1,1,1.0,2,1
409,1891,1,FINISHED,22.08.2022 - 19:27,22.08.2022 - 19:39,715,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AU868CV0GK0nA**,1502700962.0,,,57,2,39,5,1,1,1,3,1,3,4,1,1,Nike,Adidas,Reebok,Vans,Asics,1,1,1,1,1,1,1,1,0,1,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,7.0,"Nike is the best known athletic shoe maker.  I bought one pair of Nikes for work and they didn't last nearly as long as I had expected them to, maybe a few months before I noticed some tearing.  So, I am not excited about Nike, even though they are considered one of the best.",New Balance makes durable shoes at reasonable prices.  They have nice styles.,Adidas makes high quality athletic shoes that are very good quality and used by professional athletes.,"Converse makes more basic shoes.  I think of them as having thinner, fabric construction which aren't as protective as other shoes.","Reebok is less popular than it used to be, but I think probably still makes good quality shoes.  I tend to think of Reebok as a shoe for women.",1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,4,4,1,1,1,3,1.0,,,1.0,1.0,,,,98.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,100.0,,,,,2,1,6,2,0,0,1,1,0,0,0,,1,1,1.0,2,1
410,1892,1,FINISHED,22.08.2022 - 19:30,22.08.2022 - 19:37,467,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,LF3hYlBK8AWm9-wANEI6zg**,248933065.0,,,30,2,34,5,5,3,4,4,3,3,4,5,1,nike,converse,adidas,puma,,1,1,0,0,0,1,1,0,0,0,0,1,0,1.0,1.0,,,,1.0,1.0,,,,,1.0,0,1.0,1.0,,,,1.0,1.0,,,,,1.0,7.0,very durable. great look pair of footwear. the bottom designs are pretty good too if i dont mind saying.,,"adidas are fun to run in, sweat in and work out at the gym in. not bad at all. i really enjoy the rubber.",also a pretty good piece of fottwear. not my favorite quailty of shoe but its dope to wear around friends,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,5,5,4,2,2,5,300.0,23.0,23.0,8.0,24.0,6.0,,,16.0,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,40.0,,,60.0,,,,1,1,6,6,1,0,0,0,0,1,0,,1,1,1.0,2,1
416,1905,1,FINISHED,22.08.2022 - 23:26,22.08.2022 - 23:34,429,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54",LF3hYlBK8AUCUUisV5S_uA**,164025123.0,,,29,1,34,5,4,4,5,5,4,6,5,3,2,nike,reebok,fila,jordan,,1,1,1,1,1,1,1,1,0,1,1,1,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,it is my favorite brand of shoes.,"it is a brand that is simple and subtle, very unique.",it is a brand a lot of people don't really wear.,it is a very popular high top or low top shoe brand.,it use to be popular but not really anymore.,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,3,2,5,148.0,8.0,30.0,8.0,4.0,18.0,2.0,,30.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,80.0,8.0,12.0,,,1.0,1.0,0.0,1,2,7,4,1,0,0,0,0,1,0,,1,1,1.0,2,1
419,1913,1,FINISHED,23.08.2022 - 04:16,23.08.2022 - 04:22,347,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AXqicYGKIRV5g**,1542130340.0,,,53,2,47,5,2,1,3,2,2,6,4,2,2,reebok,nike,new balance,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,1.0,,,,,,,,0,0.0,0.0,1.0,,1.0,,,,,,,,5.0,They want me to buy their stuff but they won't make shoes wide enough for my feet,"I recently bought a pair of shoes from them.  Not the best, but they had wider sizes.",Old style German shoes that haven't been relevant for many years. Maybe if East Germany makes a comeback.,,"Unlike Nike, they make shoes wide enough for my feet. Although they might be going narrower, I dunno",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,1,3,5,1,1,1,5,15.0,,,18.0,44.0,,,,38.0,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,,25.0,19.0,56.0,,,,,1,6,8,7,0,1,0,0,0,1,0,,1,1,1.0,2,1
420,1914,1,FINISHED,23.08.2022 - 04:19,23.08.2022 - 04:33,820,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AWgJYHPR8lgKg**,172368283.0,,,47,2,16,5,1,4,2,4,4,3,2,3,1,nikes,reeboks,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,,1.0,,,,,,,,0,0.0,0.0,0.0,,1.0,,,,,,,,1.0,Nike are very reliable and      they reasonable priced,great    shoes  and they last long time,They hold up for long time and relaible.  Low cost shoes,,REebok reliable and popular and   very    cheap.  They don't cost too much,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,4,4,2,4,1,3,1,5,100.0,19.0,31.0,,18.0,,20.0,,12.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,100.0,,,,,,2,1,2,2,0,1,0,0,1,0,0,,1,1,1.0,2,1
421,1917,1,FINISHED,23.08.2022 - 05:54,23.08.2022 - 05:58,279,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,LF3hYlBK8AUvBPQX7x8SgQ**,1502129710.0,,,55,1,5,3,3,3,3,5,5,6,2,6,2,NIKE,,,,,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,,,,1.0,,,0.0,,,,,0,0.0,,,,1.0,,,0.0,,,,,5.0,NIKE BEEN AROUND AND WHEN I USE IT IT'S COMFORTABLE.,,,,REEBOK BEEN AROUND FOR A LONG TIME AND IT'S ALWAYS COMFORTABLE WEARING ONE.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2,3,5,4,3,3,2,5,60.0,,33.0,43.0,0.0,0.0,0.0,,24.0,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,60.0,,40.0,,,,2,5,3,5,0,0,1,0,0,0,1,,1,1,1.0,2,1
444,1956,1,FINISHED,23.08.2022 - 18:51,23.08.2022 - 19:16,1481,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AVHbDKhw-w6Cg**,191950675.0,,,69,2,14,5,3,2,3,2,4,3,1,6,1,NIKE,,,,,1,1,1,1,1,1,0,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,1.0,POSSIBLY THE MOST FAMOUS BRAND.,AMERICAN NAME IN SNEAKERS.,VERY WELL KNOWN & RESPECTED BRAND.,ESTABLISHED BRAND WITH A LONG HISTORY.,ESTABLISHED MANUFACTURER OF ALL SPORTSWEAR.,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5,5,5,1,4,1,5,180.0,,5.0,50.0,25.0,,1.0,,19.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,55.0,45.0,,,,,,2,1,6,2,0,0,1,0,1,0,0,,1,1,1.0,2,1
447,1959,1,FINISHED,23.08.2022 - 18:52,23.08.2022 - 19:05,796,"Mozilla/5.0 (iPad; CPU OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",LF3hYlBK8AXoPB4RI_N-pQ**,1505054236.0,,,62,1,23,5,3,1,1,5,1,4,3,4,2,Brooks,Asics,Skechers,,,1,1,1,0,1,0,1,0,0,0,1,1,0,0.0,1.0,1.0,,0.0,,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1.0,,,,0.0,0.0,2.0,Good quality products.,Been around a long time.,Good quality footwear.,,Been around for awhile.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,3,3,3,1,1,1,1,60.0,,26.0,57.0,17.0,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,51.0,49.0,,,,,,2,1,7,2,0,0,1,0,1,0,0,,0,1,2.0,2,1
454,1967,1,FINISHED,23.08.2022 - 19:22,23.08.2022 - 19:24,169,"Mozilla/5.0 (iPad; CPU OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",LF3hYlBK8AVS0t7yowPh2w**,54568332.0,,,35,1,7,4,3,5,2,4,2,2,3,4,2,Nike,Adidas ,,,,1,1,1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,,,,,,,,,1.0,0,1.0,1.0,0.0,,,,,,,,,1.0,2.0,Classy and i love them but way too privey,They comfybut kinda ugly,I love adidas its my favorite to order ,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,2,5,2,4,2.0,66.0,34.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,100.0,,,,,,3,1,3,1,1,0,0,1,0,0,0,,1,1,2.0,2,1
455,1968,1,FINISHED,23.08.2022 - 19:25,23.08.2022 - 19:36,618,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63",LF3hYlBK8AUesSEGwrm1fQ**,250482277.0,,,35,2,47,5,4,3,5,5,3,4,3,2,2,nike ,converse,,,,1,1,1,1,1,0,0,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,0.0,0,0.0,1.0,0.0,1.0,0.0,,,1.0,,,,0.0,8.0,shoes of the best quality and prince,good running shoes,quality and fashionable shoes,,shoes of good quality and tradition,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,5,5,4,4,4,1,5,4.0,,35.0,23.0,12.0,10.0,7.0,,13.0,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,7.0,33.0,44.0,16.0,,1.0,0.0,0.0,1,1,6,5,1,0,0,0,0,1,0,,1,1,1.0,2,1
462,1981,1,FINISHED,24.08.2022 - 00:00,24.08.2022 - 00:03,176,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",LF3hYlBK8AVZyQUPrtqFEw**,1502378452.0,,,42,1,36,5,1,1,1,5,5,6,3,3,1,Nike ,Converse,Puma ,Adidas,Vans,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,,,,,,,,,,1.0,,0,1.0,,,,,,,,,,1.0,,1.0,"Quality, stylish products ",,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,4,4,1,1,1,60.0,,90.0,6.0,3.0,1.0,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,35.0,,,58.0,7.0,0.0,0.0,1.0,2,1,7,4,0,1,0,0,1,0,0,,1,1,1.0,2,1
464,1983,1,FINISHED,24.08.2022 - 00:20,24.08.2022 - 00:26,368,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",LF3hYlBK8AVA4Js2bWGYog**,1503707092.0,,,45,1,41,5,1,1,1,1,5,6,1,4,2,Adidas,,,,,1,1,1,0,1,1,1,1,0,1,1,1,0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0.0,1.0,1.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,2.0,It’s a good sneaker and I like them,Good shoes,It’s a good shoe,Noncomment,No comment,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,1,1,1,1,4.0,,13.0,58.0,29.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,100.0,,,,,,2,1,3,8,0,1,0,0,0,1,0,,1,1,1.0,2,1
